Genotype,Length_mm,Width_mm,Area_mm_2,GW_mg
cv3,6.40,3.40,15.50,37.46
cv3,7.46,3.68,19.81,51.82
cv3,7.14,3.75,19.50,50.76
cv3,6.60,3.40,15.90,38.75
cv3,7.02,3.70,18.92,48.77
cv3,6.88,3.65,18.27,46.56
cv3,6.64,3.35,15.82,38.49
cv3,7.49,3.73,20.38,53.80
cv3,7.05,3.81,19.54,50.88
cv3,6.71,3.31,15.68,38.02
cv3,6.70,3.48,16.39,40.35
cv3,6.71,3.41,16.43,40.45
cv3,7.16,3.59,18.73,48.13
cv3,6.88,3.62,18.03,45.74
cv3,6.26,3.08,13.77,32.04
cv3,7.21,3.71,19.67,51.33
cv3,7.18,3.80,19.47,50.65
cv3,7.08,3.47,17.10,42.65
cv3,7.25,3.52,17.71,44.67
cv3,7.28,3.73,19.25,49.89
cv3,7.19,3.74,19.66,51.31
cv3,7.25,3.80,20.01,52.50
cv3,7.41,3.79,20.05,52.66
cv3,7.07,3.86,19.66,51.29
cv3,7.09,3.50,17.68,44.58
cv3,7.10,3.41,17.02,42.39
cv3,7.59,3.69,19.88,52.05
cv3,7.77,3.61,20.34,53.66
cv3,7.79,3.80,21.49,57.71
cv3,7.77,3.77,21.12,56.40
cv3,7.81,3.79,21.08,56.24
cv3,7.15,3.58,17.90,45.31
cv3,6.00,2.90,12.80,29.09
cv3,6.97,3.40,16.59,40.99
cv3,7.09,3.42,17.34,43.46
cv3,7.61,3.59,19.51,50.79
cv3,7.48,3.58,19.29,50.04
cv3,7.23,3.47,17.91,45.36
cv3,6.71,3.27,15.01,35.91
cv3,7.19,3.51,18.40,47.01
cv3,7.30,3.45,17.91,45.34
cv3,7.47,3.73,19.96,52.35
cv3,6.38,3.15,14.28,33.62
cv3,6.45,3.17,14.63,34.70
cv3,6.10,3.00,13.30,30.60
cv3,6.03,2.85,12.61,28.52
cv3,5.50,2.70,11.00,23.81
cv3,7.35,3.62,19.55,50.91
cv3,6.60,3.50,16.30,40.04
cv3,7.01,3.38,16.71,41.37
cv3,7.05,3.37,16.78,41.62
cv3,7.14,3.58,18.22,46.38
cv3,7.06,3.66,19.02,49.11
cv3,7.15,3.78,19.25,49.89
cv3,7.00,3.71,18.94,48.84
cv3,6.70,3.40,16.60,41.02
cv4,7.00,3.40,16.70,41.35
cv4,6.71,3.34,15.99,39.04
cv4,7.10,3.20,16.50,40.69
cv4,7.22,3.37,17.18,42.94
cv4,7.29,3.67,19.26,49.93
cv4,7.68,3.64,20.28,53.46
cv4,7.69,3.75,20.82,55.35
cv4,6.40,3.30,14.80,35.24
cv4,7.60,3.70,19.90,52.13
cv4,7.90,3.80,21.60,58.10
cv4,7.21,3.54,18.40,47.01
cv4,7.97,3.83,21.18,56.61
cv4,7.94,3.88,22.07,59.78
cv4,7.88,4.21,23.97,66.67
cv4,8.24,4.06,23.39,64.56
cv4,7.89,3.70,21.86,59.01
cv4,6.93,3.61,18.77,48.25
cv4,7.60,3.60,19.40,50.41
cv4,7.91,3.67,19.78,51.71
cv4,7.61,3.55,19.29,50.03
cv4,7.29,3.70,19.55,50.94
cv4,7.73,3.89,21.67,58.36
cv4,7.86,4.11,22.55,61.50
cv4,7.30,4.13,22.18,60.16
cv4,7.31,4.02,21.52,57.82
cv4,6.96,3.74,18.67,47.90
cv4,6.90,3.40,16.70,41.35
cv4,7.30,3.70,19.90,52.13
cv4,8.10,4.10,23.60,65.31
cv4,7.90,3.60,21.00,55.97
cv4,7.50,3.90,20.30,53.52
cv4,7.90,3.60,21.40,57.39
cv4,7.25,3.34,17.33,43.42
cv4,7.50,3.61,19.29,50.03
cv4,7.66,3.78,20.84,55.41
cv4,7.83,3.76,21.31,57.08
cv4,7.00,3.35,16.72,41.42
cv4,7.22,3.46,18.10,45.99
cv4,7.30,3.75,19.15,49.54
cv4,7.28,3.82,19.93,52.24
cv4,7.31,3.93,20.64,54.72
cv4,7.21,3.88,20.14,52.98
cv4,6.70,4.20,20.00,52.48
cv4,7.82,3.78,20.84,55.41
cv4,7.50,3.90,21.50,57.74
cv4,7.00,3.40,16.00,39.07
cv4,7.34,3.51,17.81,45.01
cv4,6.30,3.40,14.80,35.24
cv4,7.05,3.48,17.70,44.63
cv4,7.64,3.64,19.47,50.64
cv4,7.50,3.70,20.30,53.52
cv4,7.38,3.70,19.92,52.20
cv4,7.05,3.76,19.62,51.15
cv4,6.40,3.30,15.20,36.51
cv4,7.56,3.82,20.91,55.64
cv4,7.46,3.59,19.50,50.75
cv4,7.50,3.95,21.22,56.75
cv4,7.57,3.96,21.85,59.00
cv4,6.80,3.40,16.30,40.04
cv4,7.10,3.70,18.10,45.99
cv4,7.90,4.20,23.20,63.85
cv5,6.55,3.33,16.16,39.58
cv5,6.90,3.65,18.91,48.72
cv5,7.81,3.68,19.52,50.81
cv5,7.19,3.55,18.40,47.01
cv5,7.20,3.60,18.50,47.34
cv5,7.40,3.50,17.90,45.32
cv5,7.46,3.86,21.33,57.15
cv5,6.75,3.58,16.92,42.08
cv5,6.50,3.20,14.60,34.62
cv5,7.21,3.71,19.36,50.28
cv5,7.41,3.71,19.36,50.26
cv5,6.83,3.67,18.30,46.66
cv5,7.44,3.66,19.59,51.05
cv5,7.59,3.95,21.46,57.60
cv5,7.01,3.60,18.80,48.35
cv5,7.52,3.46,18.22,46.38
cv5,7.32,3.57,18.84,48.48
cv5,7.55,3.80,19.64,51.22
cv5,6.94,4.02,20.04,52.63
cv5,6.70,3.10,14.40,33.99
cv5,6.73,3.28,15.68,38.02
cv5,6.30,3.54,16.11,39.42
cv5,7.01,3.71,19.33,50.17
cv5,8.16,3.84,21.08,56.24
cv5,7.37,3.93,20.30,53.50
cv5,7.03,3.57,17.83,45.07
cv5,7.52,3.75,20.71,54.96
cv5,6.99,4.05,20.62,54.65
cv5,6.20,3.30,15.10,36.19
cv5,6.98,3.46,17.06,42.52
cv5,7.07,3.57,18.20,46.32
cv5,7.26,3.65,19.26,49.91
cv5,5.94,3.11,13.90,32.44
cv5,6.80,3.70,17.50,43.98
cv5,7.10,3.81,20.20,53.17
cv5,5.40,2.80,12.80,29.09
cv5,6.90,3.50,16.80,41.67
cv5,7.33,3.75,19.37,50.29
cv5,7.60,3.79,20.06,52.69
cv5,5.40,2.50,9.80,20.44
cv5,7.47,3.73,19.94,52.26
cv5,7.50,3.68,19.09,49.35
cv5,6.10,3.10,13.60,31.52
cv5,7.20,3.40,17.80,44.98
cv5,7.10,3.60,18.70,48.01
cv5,6.89,3.50,17.79,44.95
cv5,6.58,3.33,16.12,39.45
cv5,6.05,3.07,13.45,31.05
cv5,5.90,2.90,12.50,28.19
cv5,6.20,3.00,13.00,29.69
cv5,5.80,3.00,12.80,29.09
cv5,6.82,3.38,16.45,40.51
cv5,6.99,3.52,17.63,44.43
cv5,7.19,3.81,19.10,49.39
cv5,7.03,3.73,18.59,47.63
cv5,7.27,3.73,19.72,51.51
cv5,6.94,3.76,19.03,49.14
cv5,6.59,3.68,17.85,45.15
cv5,6.55,2.99,14.01,32.79
cv5,6.86,3.60,17.11,42.71
cv5,7.01,3.43,17.15,42.81
cv5,7.23,3.65,19.11,49.42
cv5,7.31,3.71,19.42,50.47
cv5,7.07,3.70,19.28,50.00
cv5,6.79,3.70,18.52,47.39
cv3,7.02,3.58,18.27,46.57
cv3,7.35,3.74,19.27,49.95
cv3,7.42,3.91,20.79,55.25
cv3,7.86,3.86,21.74,58.60
cv3,7.76,3.85,21.64,58.24
cv3,7.98,3.98,22.91,62.80
cv3,7.62,3.87,21.26,56.90
cv3,7.37,3.44,17.32,43.39
cv3,7.12,3.57,17.96,45.52
cv3,7.34,3.69,19.48,50.69
cv3,7.64,3.70,20.53,54.34
cv3,7.54,3.80,21.06,56.17
cv3,7.56,3.94,21.42,57.47
cv3,7.50,3.95,21.66,58.33
cv3,7.23,3.88,20.49,54.17
cv3,7.16,3.85,19.59,51.05
cv3,5.50,2.60,10.50,22.39
cv3,6.07,2.94,13.27,30.51
cv3,6.63,3.15,14.46,34.17
cv3,7.32,3.58,18.40,47.00
cv3,7.48,3.65,19.97,52.36
cv3,7.80,3.76,21.14,56.45
cv3,7.41,3.77,20.22,53.23
cv3,6.81,3.23,15.43,37.24
cv3,6.50,3.10,14.40,33.99
cv3,6.50,2.83,13.24,30.43
cv3,6.89,3.21,15.26,36.71
cv3,6.70,3.30,16.10,39.39
cv3,7.04,3.34,16.37,40.27
cv3,7.23,3.40,17.23,43.09
cv3,7.02,3.64,18.68,47.95
cv3,7.62,3.74,20.66,54.76
cv3,7.53,3.83,20.77,55.15
cv3,7.52,3.82,20.67,54.80
cv3,7.32,3.89,20.14,52.97
cv3,7.36,3.53,18.33,46.76
cv3,7.41,3.65,19.61,51.12
cv3,7.66,3.87,21.17,56.59
cv3,7.96,3.89,22.08,59.80
cv3,7.65,3.79,20.88,55.55
cv3,8.01,3.82,21.64,58.25
cv3,6.06,3.04,13.21,30.33
cv3,7.17,3.43,17.60,44.32
cv3,7.56,3.57,19.05,49.22
cv3,7.72,3.66,19.94,52.27
cv3,7.23,3.61,18.44,47.12
cv3,5.90,2.90,11.80,26.12
cv3,6.40,2.90,13.20,30.30
cv3,7.25,3.50,17.65,44.48
cv3,7.47,3.58,18.89,48.65
cv3,7.58,3.78,20.17,53.08
cv3,7.64,3.74,20.47,54.11
cv3,7.88,3.90,22.66,61.91
cv3,7.99,3.84,22.14,60.02
cv3,7.19,3.79,19.69,51.41
cv3,7.30,3.60,18.93,48.79
cv3,6.75,3.25,15.28,36.77
cv3,7.05,3.56,17.94,45.45
cv3,7.52,3.70,19.76,51.64
cv3,7.61,3.85,21.32,57.09
cv3,7.70,3.91,21.73,58.57
cv3,7.71,3.82,21.09,56.29
cv3,7.54,3.60,20.09,52.80
cv3,6.70,3.54,17.29,43.29
cv3,5.70,2.90,11.90,26.42
cv3,6.35,3.07,13.74,31.95
cv3,7.52,3.43,18.05,45.83
cv3,7.36,3.60,19.03,49.12
cv3,7.46,3.53,19.21,49.77
cv3,6.93,3.44,16.91,42.02
cv3,6.70,3.50,16.40,40.37
cv3,5.60,2.60,10.60,22.67
cv3,6.10,3.10,13.80,32.13
cv3,5.15,2.15,9.50,19.61
cv4,8.03,3.48,19.47,50.66
cv4,7.72,3.72,20.73,55.01
cv4,8.06,4.00,22.39,60.91
cv4,8.34,3.88,22.17,60.14
cv4,7.98,4.19,24.03,66.90
cv4,7.19,3.90,20.70,54.93
cv4,7.36,3.92,20.92,55.68
cv4,7.73,3.69,19.60,51.08
cv4,7.51,3.54,19.57,51.00
cv4,7.79,4.07,22.53,61.44
cv4,7.53,4.16,22.38,60.87
cv4,7.83,3.89,22.77,62.29
cv4,8.12,4.08,24.13,67.24
cv4,8.31,4.07,24.47,68.49
cv4,7.63,4.03,22.87,62.66
cv4,5.70,3.00,12.20,27.30
cv4,7.25,3.37,17.45,43.83
cv4,7.61,3.56,19.65,51.25
cv4,8.27,3.74,22.54,61.45
cv4,8.04,3.75,22.99,63.08
cv4,8.06,3.97,23.66,65.52
cv4,7.67,3.94,21.86,59.03
cv4,7.30,3.63,19.89,52.11
cv4,7.22,3.52,18.44,47.14
cv4,6.88,3.44,17.33,43.41
cv4,7.40,3.40,18.10,45.99
cv4,7.95,3.71,21.24,56.83
cv4,7.93,3.60,21.74,58.59
cv4,7.44,3.82,20.41,53.89
cv4,7.70,3.60,21.00,55.97
cv4,7.57,3.69,20.18,53.09
cv4,7.90,3.70,20.60,54.57
cv4,7.08,3.56,18.18,46.24
cv4,7.35,3.73,20.22,53.23
cv4,7.73,3.58,19.97,52.38
cv4,6.50,3.20,15.70,38.10
cv4,8.14,3.83,21.73,58.57
cv4,8.02,3.53,20.61,54.61
cv4,7.92,3.78,21.20,56.68
cv4,7.71,3.77,20.98,55.90
cv4,7.99,3.64,20.57,54.46
cv4,7.82,3.72,20.90,55.63
cv4,7.20,3.29,17.48,43.92
cv4,8.21,3.97,23.72,65.73
cv4,7.64,4.14,23.65,65.50
cv4,7.70,3.60,19.60,51.09
cv4,8.14,3.67,21.80,58.80
cv4,7.97,4.07,23.10,63.49
cv4,7.97,3.99,23.63,65.42
cv4,7.40,3.50,18.40,47.00
cv4,7.67,3.71,20.85,55.45
cv4,5.60,2.80,11.60,25.54
cv4,7.88,3.69,21.20,56.66
cv4,7.35,3.62,18.74,48.15
cv4,7.28,3.61,18.95,48.87
cv4,7.54,3.46,18.62,47.76
cv4,7.62,3.57,19.96,52.34
cv4,7.38,3.89,20.89,55.60
cv4,7.49,3.72,20.26,53.37
cv4,6.76,3.42,16.73,41.44
cv4,7.73,3.72,20.50,54.21
cv4,7.34,3.75,20.09,52.78
cv4,6.90,3.40,16.90,42.00
cv4,6.90,3.70,18.90,48.69
cv4,7.34,3.82,20.23,53.28
cv4,7.56,3.53,19.75,51.60
cv4,7.52,3.78,21.10,56.32
cv4,7.74,3.48,19.61,51.13
cv4,7.89,3.97,22.23,60.33
cv4,7.86,3.97,22.24,60.39
cv4,7.26,3.38,18.61,47.72
cv4,8.20,3.60,20.84,55.41
cv5,7.13,3.48,17.46,43.84
cv5,6.60,3.40,16.10,39.39
cv5,7.33,3.58,18.50,47.33
cv5,7.85,3.58,19.78,51.73
cv5,7.79,3.68,20.73,55.03
cv5,8.13,3.60,20.71,54.95
cv5,7.74,3.61,20.15,53.01
cv5,7.82,3.78,21.23,56.78
cv5,7.40,3.75,19.79,51.74
cv5,6.35,3.12,14.35,33.82
cv5,5.60,2.50,9.80,20.44
cv5,6.92,3.39,16.65,41.18
cv5,7.74,3.49,18.76,48.23
cv5,7.64,3.68,20.95,55.80
cv5,8.09,3.83,22.02,59.61
cv5,7.67,3.69,20.81,55.29
cv5,7.30,3.40,17.50,43.98
cv5,7.33,3.44,17.62,44.37
cv5,7.34,3.64,18.73,48.12
cv5,7.62,3.76,20.55,54.38
cv5,7.56,3.91,21.04,56.12
cv5,7.28,3.83,20.27,53.42
cv5,7.07,3.82,19.62,51.17
cv5,6.95,3.72,18.34,46.80
cv5,6.20,2.80,12.40,27.89
cv5,6.94,3.32,16.52,40.74
cv5,6.72,3.33,16.05,39.23
cv5,7.56,3.77,20.67,54.81
cv5,7.21,3.62,18.94,48.83
cv5,7.65,3.76,20.50,54.20
cv5,7.14,3.48,17.86,45.18
cv5,7.36,3.42,17.62,44.40
cv5,7.27,3.55,18.77,48.26
cv5,7.50,3.64,19.55,50.92
cv5,7.91,3.61,20.72,55.00
cv5,6.41,3.08,14.20,33.36
cv5,6.68,3.18,14.87,35.48
cv5,6.82,3.55,15.86,38.62
cv5,7.37,3.64,19.59,51.07
cv5,7.12,3.47,18.01,45.69
cv5,7.42,3.61,18.96,48.89
cv5,6.48,3.20,15.14,36.33
cv5,7.77,3.73,21.38,57.31
cv5,6.74,3.53,17.35,43.48
cv5,7.77,3.85,21.16,56.54
cv5,7.51,3.76,20.17,53.08
cv5,7.75,3.67,20.27,53.41
cv5,7.91,3.68,20.75,55.09
cv5,7.32,3.60,19.45,50.59
cv5,7.64,3.63,20.16,53.03
cv5,7.24,3.45,17.26,43.20
cv5,7.04,3.59,17.80,44.99
cv5,7.50,3.60,18.98,48.96
cv5,7.44,3.75,19.77,51.69
cv5,7.64,3.69,20.13,52.92
cv5,7.92,3.91,21.84,58.95
cv5,7.58,3.93,21.44,57.53
cv5,7.12,3.61,18.70,48.00
cv5,6.11,3.02,13.57,31.43
cv5,6.89,3.46,17.94,45.46
cv5,6.80,3.20,16.10,39.39
cv5,6.29,3.25,14.80,35.23
cv5,6.50,3.40,16.10,39.39
cv5,6.85,3.44,17.21,43.03
cv5,7.61,3.73,20.57,54.45
cv5,7.12,3.57,18.70,48.01
cv5,7.39,3.69,20.15,52.99
cv5,7.42,3.68,20.00,52.49
cv5,7.07,3.40,17.19,42.97
cv5,6.40,3.20,14.50,34.30
cv5,6.82,3.24,15.82,38.48
cv5,7.27,3.62,18.30,46.65
cv5,7.42,3.73,19.90,52.12
cv5,7.86,3.61,20.35,53.71
cv5,7.77,3.76,21.37,57.29
cv5,7.72,3.67,20.40,53.86
cv5,6.98,3.95,19.56,50.95
cv5,7.00,3.71,18.74,48.16
